id,title,view,likes,dislikes,rating,guestid
cF7_AaY9tCg,JRE MMA Show #94 with Brendan Schaub,3456346,30331,4850,4.448566,-1
TOiTI5LrCSA,Joe Rogan Experience #1456 - Michael Shermer,1585572,16415,3332,4.3250618,76
g4OJooMbgRE,Joe Rogan Experience #1455 - Lex Fridman,3232432,38643,4390,4.5919409,-1
B-DiuM5KsPM,Joe Rogan Experience #1454 - Dan Crenshaw,2733973,47103,12836,4.1433959,179
wf0_nMaQ6tA,Joe Rogan Experience #1453 - Eric Weinstein,6833855,80662,9401,4.5824699,115
W8ASnyzZ534,Joe Rogan Experience #1452 - Greg Fitzsimmons,2349927,21951,1968,4.6708894,1
Q9Q53KWZFMU,Joe Rogan Experience #1451 - Dr. Peter Hotez,3026995,44285,3606,4.6988163,114
iS3te7kM6DY,Joe Rogan Experience #1450 - Brian Redban,1988359,20926,1913,4.664959,91
fy29eXpK0TM,Joe Rogan Experience #1449   Bryan Callen,3145920,30369,2858,4.6559424,86
Xb-g4cACOEc,Joe Rogan Experience #1448 - Joey Diaz,6417823,79111,3912,4.811522,49
e4Xx24EqAFU,Joe Rogan Experience #1447 - Tom Segura,4938584,49691,2925,4.7776341,-1
Q0V6KIZiXco,Joe Rogan Experience #1446 - Bert Kreischer,5304962,53068,3499,4.7525768,127
OlFJm2wK7eo,Joe Rogan Experience #1445 - Andy Stumpf,3054670,35133,2139,4.7704444,42
r4iO0GpgnlQ,Joe Rogan Experience #1444 - Duncan Trussell,6153309,96442,4693,4.8143868,7
Xd1IF8_FKBo,Joe Rogan Experience #1443 - Jonathan Ward,1631223,13163,1193,4.6675954,45
UL3RvjhFu_s,Joe Rogan Experience #1442 - Shannon O'Loughlin,1385853,16032,9235,3.5380139,51
qE8XryTeSnI,"Joe Rogan Experience - Fight Companion - March 14, 2020",2457310,33243,2499,4.7203288,235
gzUuvAa2jPY,Joe Rogan Experience #1441 - Hugo Martin,1386178,23211,3464,4.4805622,80
ack8IjOdo3c,Joe Rogan Experience #1440 - Fortune Feimster,1426218,13146,1517,4.5861692,11
jUiUUCt_TWg,JRE MMA Show #93 with Alexander Volkanovski,1202209,14967,717,4.8171387,-1
E3URhJx0NSw,Joe Rogan Experience #1439 - Michael Osterholm,15248170,212004,9657,4.8257337,4
eDzGRT06er0,Joe Rogan Experience #1438 - Andrew Santino,2293135,20946,1952,4.6590095,-1
DETj3ncN19g,Joe Rogan Experience #1437 - Stephen Dubner,1697606,16424,1314,4.7036872,2
NaPKrZTUoUs,Joe Rogan Experience #1436 - Adam Curry,4508706,36819,2690,4.7276568,8
PhRRq6SXSB8,Joe Rogan Experience #1435 - Suzanne Santo & Gary Clark Jr.,1167450,17172,1539,4.6709957,9
E3nSqQhlCmA,Joe Rogan Experience #1434 - Trevor Thompson,2458890,27360,1768,4.7572098,82
bYmfnvCbqzY,Joe Rogan Experience #1433 - Michael Yo,1428481,14085,1934,4.5170736,1
9-z0kglwpwo,Joe Rogan Experience #1432 - Aubrey de Grey,1634882,21178,1899,4.6708412,238
A1Q4vhC4Ink,Joe Rogan Experience #1431 - Owen Smith,1088719,10675,973,4.6658654,-1
kISlB3pjGRU,"Joe Rogan Experience - Fight Companion - February 22, 2020",2924425,34501,2215,4.7586884,-1
UAx1Sq6usRg,Joe Rogan Experience #1430 - Raghunath Cappo,1887270,26224,1718,4.7540622,-1
4H_5J4qcij4,Joe Rogan Experience #1429 - Colin O'Brady,923021,9461,1281,4.522994,-1
r4wQsmAtZoc,Joe Rogan Experience #1428 - Brian Greene,4792026,73208,3154,4.8347869,-1
yTCgRIA0RYo,JRE MMA Show #92 with Angela Hill,938070,12183,1205,4.639976,-1
6SLVjWbER4M,Joe Rogan Experience #1427 - Melissa Chen,3811607,55066,3843,4.7390552,25
15Ff4I6qsfU,JRE MMA Show #91 with Radio Rahim,637681,8983,832,4.6609273,-1
_TStVaAMT3U,Joe Rogan Experience #1426 - Justin Martindale,1334197,14284,1761,4.5609846,188
auslk18GgIE,JRE MMA Show #90 with Rashad Evans,1570299,20595,1225,4.7754354,-1
3RG5pXTpLBI,Joe Rogan Experience #1425 - Garrett Reisman,6495915,80444,3570,4.8300285,-1
5ihph3nrgt0,Joe Rogan Experience #1424 - Tom Papa,1840305,16936,1381,4.6984224,-1
NIxhH85cQMY,Joe Rogan Experience #1423 - Andrew Doyle,1277617,23920,1120,4.8210864,133
ZIcQwDkcaWk,Joe Rogan Experience #1422 - Lex Fridman,2707363,36594,2597,4.7349391,210
yXZn2DkrXig,Joe Rogan Experience #1421 - Jim Norton,1855955,21433,1735,4.700449,86
DEWgei2u6vM,Joe Rogan Experience #1420 - Mark Normand,1642571,25643,1630,4.7609358,-1
oGTQ0Wj6yIg,Joe Rogan Experience #1419 - Daryl Davis,3722279,111076,3087,4.891839,-1
nZ7j2KFd0D4,JRE MMA Show #89 with Rafael Lovato Jr,707335,8664,828,4.6510744,160
QtIa_UQ09Ko,JRE MMA Show #88 with Frankie Edgar,1245225,14502,774,4.7973289,-1
hIQTPo262rQ,JRE MMA Show #87 with Kamaru Usman,1746692,20009,3643,4.3838997,-1
8zkXLwBnORg,JRE MMA Show #86 with Josh Thomson,1509218,16888,1200,4.7346306,-1
vPDRlhgblZg,Joe Rogan Experience #1418 - Don Gavin,934773,9375,639,4.7447572,-1
XiWYB_xTd9k,Joe Rogan Experience #1417 - Kevin Ross,1349420,14970,1133,4.7185616,217
74TaVlSuipo,Joe Rogan Experience #1416 - Rob Kearney,1470304,21683,2830,4.5382042,-1
nL-YwrjKqZU,Joe Rogan Experience #1415 - Bari Weiss,1354736,13813,38464,2.0569084,-1
wQ0GD9SpH_o,Joe Rogan Experience #1414 - Mike Baker,3148542,33311,6275,4.3659372,10
-KQGZa773sI,Joe Rogan Experience #1413 - Bill Maher,5868183,78477,14452,4.3779335,-1
amx14K9N5CY,Joe Rogan Experience #1412 - Jimmy Dore,5348634,59009,6090,4.6258006,51
d5XTDmm0KUQ,Joe Rogan Experience #1411 - Robert Downey Jr.,11216305,256493,7755,4.8826103,33
RGLgfGT032s,Joe Rogan Experience #1410 - Ash Dykes,1902001,20804,1220,4.7784233,144
6iYxbRZ21bw,Joe Rogan Experience #1409 - Joey Diaz,7415732,81687,4143,4.8069205,-1
fM5IYSZeGCY,"Joe Rogan Experience - Fight Companion - January 9, 2020",3926933,49719,3281,4.7523775,-1
xPBejhoKlb8,Joe Rogan Experience #1408 - Ed Calderon,4367343,62799,2642,4.838511,-1
83ysf_GO2aw,Joe Rogan Experience #1407 - Michael Malice,4820589,49205,3855,4.7093854,216
joGS1O-Uto4,Joe Rogan Experience #1406 - Brian Redban,2329690,25701,2622,4.6297002,-1
_IBDvROmdGU,JRE - 10 Years in Review,5055915,73829,7838,4.6160994,-1
H4gdLhOp3OE,Joe Rogan Experience #1405 - Sober October 3 Recap,3408162,42467,2067,4.8143439,192
cyj5AfaJfVo,Joe Rogan Experience #1404 - Bryan Callen,2877171,26178,2371,4.667799,-1
tCRjz1fyOE4,Joe Rogan Experience #1403 - Forrest Galante,5799790,64950,2622,4.8447876,255
4N2FjjLAS6E,JRE MMA Show #85 with Max Holloway,2152805,37021,1159,4.8785753,17
whRVyywTov4,Joe Rogan Experience #1402 - Boyan Slat,1332520,21694,845,4.8500376,-1
4ZamJraVSxo,Joe Rogan Experience #1401 - Iliza Shlesinger,1444262,16391,12661,3.2567809,100
HKa6m9HpWUU,Joe Rogan Experience #1400 - Tony Hinchcliffe,2455311,19432,2247,4.5854053,-1
Rm0GNWSKzYs,Joe Rogan Experience #1399 - Pavel Tsatsouline,2033034,34459,1281,4.8566313,-1
UYp5KoDc3mE,Joe Rogan Experience #1398 - Lil Duval,2514851,35609,2218,4.7654586,2
Iq8Ss9yg6bo,Joe Rogan Experience #1397 - S.C. Gwynne,1886216,27181,1193,4.8318176,-1
zOT7UCaCJHY,Joe Rogan Experience #1396 - Michelle Wolf,1343580,18839,13249,3.3484168,139
PNocQzhPyac,Joe Rogan Experience #1395 - Glenn Villeneuve,4124859,56260,2566,4.8255196,68
Imi5ODmIckw,Joe Rogan Experience #1394 - Matt Farah,1442975,17220,1467,4.6859851,4
s0zgNY_kqlI,Joe Rogan Experience #1393 - James Wilks & Chris Kresser - The Game Changers Debate,3070679,41448,7408,4.3934827,-1
Frw-IBgu-Qw,JRE MMA Show #84 with Brendan Schaub,2294061,23879,3964,4.430521,-1
ofj3EHrK96U,Joe Rogan Experience #1392 - Zach Bitter,1155371,9967,888,4.6727777,3
GgrspAOucvM,JRE MMA Show #83 with Firas Zahabi,2618647,33543,1303,4.8504276,232
PdYud9re7-Q,Joe Rogan Experience #1391- Tulsi Gabbard & Jocko Willink,5156664,107421,5280,4.8126016,-1
-0sKkbjQYqw,Joe Rogan Experience #1390 - Tim Dillon,3618101,34617,2558,4.7247615,230
Dq4Apc2Xk7Q,"Joe Rogan Experience #1389 - Chris Kresser Debunks ""The Gamechangers"" Documentary",2442318,28067,5384,4.3561926,70
xCSVI6gfjs8,Joe Rogan Experience #1388 - Louie Psihoyos,1210303,12567,972,4.7128296,12
XPf0swdYOxI,Joe Rogan Experience #1387 - Josh Homme,2054748,27156,1466,4.7951226,-1
2GJaLAIM1Ho,Joe Rogan Experience #1386 - Matt Taibbi,2989504,32020,2424,4.7184997,-1
xJ6Ym719urg,Joe Rogan Experience #1385 - Paul Stamets,2721816,51406,1431,4.8916669,-1
xaBHLCIBoEc,Joe Rogan Experience #1384 - Ari Shaffir,2376607,21895,4464,4.3225842,-1
Okg2LH6XKzY,Joe Rogan Experience #1383 - Malcolm Gladwell,2377010,25996,2154,4.6939254,-1
FDzDNcglUdo,Joe Rogan Experience #1382 - RZA & Donnell Rawlings,1708055,26945,1661,4.7677412,83
HaEDlGzrVIg,Joe Rogan Experience #1381 - Donnell Rawlings,1179843,14886,981,4.7526941,-1
yZKhfZ25L4o,JRE MMA Show #82 with Israel Adesanya,4478369,64456,2496,4.8508782,-1
f2aYNheer8I,Joe Rogan Experience #1380 - Pete Dominick,912641,6372,10414,2.5184083,7
gxwgwaLS7KI,Joe Rogan Experience #1379 - Ben Westhoff,1751771,19562,1167,4.7748084,207
ZDni5sKbAII,Joe Rogan Experience #1378 - Greg Fitzsimmons,1616736,13961,1489,4.6144986,201
cRUy8E6ueeo,Joe Rogan Experience #1377 - Rick Baker,977604,14235,501,4.8640065,110
UjMGOaDPav8,Joe Rogan Experience #1376 - Artie Lange,3277975,46764,2076,4.8299756,65
wUn1TbCINpk,Joe Rogan Experience #1375 - Edward Norton,4049846,60662,2526,4.840096,42
6qGhSAeFV0Y,Joe Rogan Experience #1374 - Justin Wren,947175,12250,682,4.7890506,-1
0HWh52wdUmY,Joe Rogan Experience #1373 - Kyle Kulinski,3122035,53949,7327,4.5217052,-1
9yji9vIxkwY,Joe Rogan Experience #1372 - Kevin Smith,2715071,41279,1886,4.8252287,-1
HAxSo38-2Kg,Joe Rogan Experience #1371 - Andrew Santino,1342027,14377,1081,4.7202744,172
O1mo5D3UF7s,JRE MMA Show #81 with Dave Leduc,669905,10107,422,4.8396807,220
6Zo_FTUNDBI,Joe Rogan Experience #1370 - Brian Grazer,1023287,10480,749,4.733191,5
ylQrshWAjuE,Joe Rogan Experience #1369 - Christopher Ryan,1780764,19501,1294,4.7510939,-1
efs3QRr8LWw,Joe Rogan Experience #1368 - Edward Snowden,18155774,396433,14740,4.8566055,-1
0G64Hs7iZpU,Joe Rogan Experience #1367 - Bridget Phetasy,998697,13715,1244,4.6673574,49
_bN4spt3744,Joe Rogan Experience #1366 - Richard Dawkins,2420592,50449,5550,4.6035643,49
qEcWyjJ20k0,Joe Rogan Experience #1365 - Cameron Hanes,1969723,18050,1757,4.6451759,265
h2fUl0Ldxgg,Joe Rogan Experience #1364 - Brian Redban,2114997,21083,1477,4.7381206,-1
PlDUYhZvU9s,Joe Rogan Experience #1363 - Dakota Meyer,1790887,24165,3401,4.5064936,-1
LyUAzkDdZ9g,JRE MMA Show #80 with Evander Holyfield,1020060,16646,520,4.8788304,11
dTuSEyiqzzk,Joe Rogan Experience #1362 - Lenny Clarke,997883,10783,679,4.7630429,-1
Eco2s3-0zsQ,Joe Rogan Experience #1361 - Cmdr. David Fravor & Jeremy Corbell,5185790,89259,2832,4.8769913,260
TqUAIrhzDP8,Joe Rogan Experience #1360 - Nikki Glaser,1895732,21677,2345,4.6095247,-1
R0ufbsXbsEM,Joe Rogan Experience #1359 - Roseanne Barr,2308124,35435,3873,4.6058817,23
